code,name,star
10614,Embassy Suites by Hilton Santa Ana Orange County,4
10615,The Mayfair Hotel,4
10617,Aliz Hotel Times Square,4
10621,Embassy Suites by Hilton West Palm Beach Central,3
10628,Courtyard New Haven at Yale,3
10646,Wyndham Garden Chinatown,4
10654,Courtyard by Marriott Los Angeles Pasadena/Monrovia,3
10659,Cadillac Hotel & Beach Club,4
10661,Hotel Fusion,3
10662,Ramada by Wyndham Torrance,3
10667,The Bicycle Hotel & Casino,4
,,
10678,Hampton Inn Houston-Near The Galleria,3
,,
10680,Courtyard by Marriott Sugar Land/Stafford,3
10681,Residence Inn by Marriott Sugar Land/Stafford,3
10690,Courtyard Marriott San Francisco Union Square,3
10691,The Citizen Hotel,4
10692,Residence Inn by Marriott New York Manhattan/Times Square,4
10695,Days Inn by Wyndham San Diego/Downtown/Convention Center,3
10702,Hilton San Francisco Financial District,4
10708,Viceroy Santa Monica,4
10709,La Quinta Inn & Suites Pomona,3
10710,Hotel Zetta San Francisco,4
10715,Hampton Inn & Suites Sarasota / Bradenton-Airport,3
10725,Hyatt Place San Jose Downtown,3
10729,Holiday Inn Express & Suites Miami-Kendall,3
10730,Hampton Inn Miami Airport East,3
10736,Renaissance Newport Beach Hotel,4
10737,LA Crystal Hotel and Casino,3
10738,DoubleTree Suites by Hilton Sacramento-Rancho Cordova,3
10747,Hilton Westchase,3
10765,La Quinta Inn & Suites New York City Central Park,3
10777,Hyatt Place Ontario Rancho Cucamonga,3
10786,DoubleTree by Hilton Pomona,4
10787,Embassy Suites by Hilton San Luis Obispo,4
10796,Holiday Inn Express Lancaster,3
10803,Fairfield Inn and Suites by Marriott San Jose Airport,3
10810,Courtyard by Marriott New York Manhattan/Times Square,3
10813,Austin Marriott South,4
10814,Residence Inn by Marriott Austin South,3
10815,Courtyard by Marriott Austin South,3
10818,Hyatt House Pleasanton,3
10819,Hyatt House Pleasant Hill,3
10825,Hilton Garden Inn Houston/Bush Intercontinental Airport,3
10826,Residence Inn by Marriott Houston Downtown/Convention Center,3
10827,Fairfield by Marriott Inn & Suites Miami West/Doral,3
10835,Courtyard Houston Downtown Convention Center,3
10837,Hotel St. Michel,3
10838,The Chelsea Inn,3
10839,The Ridge Hotel,3
10840,Cachet Boutique Hotel NYC,4
10845,Beachcomber Resort and Villas,3
10856,Hampton Inn Brookhollow,3
10861,Embassy Suites by Hilton Los Angeles International Airport North,3
10862,Embassy Suites by Hilton Lompoc Central Coast,4
10869,Hyatt House Austin Arboretum,3
10870,Courtyard by Marriott Austin The Domain Area,3
10871,Residence Inn Austin North Parmer Lane,3
10881,Hampton Inn and Suites Bellevue Downtown Seattle,3
10890,Aloft Dallas Downtown,3
10891,Hilton Garden Inn Miami Brickell South,3
10892,Harbor Court Hotel San Francisco,4
10903,Hotel Bijou,4
10914,SIXTY LES Hotel,4
10915,Embassy Suites by Hilton Austin Downtown Town Lake,4
10922,Hotel Hayden,4
10924,Courtyard by Marriott Los Angeles LAX/Century Boulevard,3
10941,Courtyard by Houston by The Galleria,3
10942,Residence Inn Houston by The Galleria,3
10953,"The Westin Bonaventure Hotel & Suites, Los Angeles",4
10954,Courtyard by Marriott Fort Lauderdale SW/Miramar,3
10960,Hilton Daytona Beach Oceanfront,4
10963,Hampton Inn NY-JFK,3
10964,Fairfield Inn & Suites by Marriott San Antonio Downtown/Market Square,3
10965,Residence Inn by Marriott San Antonio Downtown/Market Square,3
10971,Sheraton Houston Brookhollow Hotel,4
10974,Aloft Harlem,3
10975,The El Cordova Hotel,3
10976,The William Vale,5
10977,SpringHill Suites by Marriott Austin North/Parmer Lane,3
10978,SpringHill Suites by Marriott Austin South,3
10980,Courtyard by Marriott Fort Myers Cape Coral,3
10995,Hyatt Regency San Antonio,4
10997,Comfort Inn & Suites Bronx,3
10998,Sheraton Universal Hotel,4
10999,La Quinta Inn & Suites LAX,3
11010,Element Fort Lauderdale Downtown,3
11011,"The Dalmar, Fort Lauderdale, a Tribute Portfolio Hotel",5
11014,Four Points by Sheraton Ontario-Rancho Cucamonga,3
11016,Fairfield Inn by Marriott New York JFK Airport,3
11025,Hyatt Regency Sonoma Wine Country,4
11032,6 Columbus Central Park Hotel,4
11033,Atrium Hotel Orange County,3
11034,Fairfield Inn by Marriott Austin South,3
11037,Aloft Miami Doral,3
11038,International Palms Resort & Conference Center Cocoa Beach,3
11044,Sheraton DFW Airport Hotel,4
11045,Omni San Francisco Hotel,4
11053,Holiday Inn Express Laguardia Airport,3
11054,Holiday Inn Express New York JFK Airport Area,3
11067,DoubleTree by Hilton Hotel Dallas - DFW Airport North,4
11072,Le Parc Suite Hotel,4
11073,Hotel Ziggy on Sunset,4
11074,Hotel Amarano Burbank,4
11122,Kimpton Angler's South Beach,5
11137,Montrose at Beverly Hills,4
11138,Chamberlain West Hollywood Hotel,4
11161,Kimpton Epic Miami Hotel,5
11172,Hampton Inn Fort Walton Beach,3
11196,Hotel Emblem by Viceroy,4
11202,Holiday Inn Ft. Lauderdale-Airport,3
11204,Courtyard by Marriott New York Manhattan/Midtown East,3
11213,Hilton Orlando,4
11214,Casamia 36 Hotel,3
11219,Hyatt Place New York Midtown - South,3
11230,Embassy Suites by Hilton San Francisco Airport,4
11244,Courtyard by Marriott Louisville Northeast,3
11247,AC Hotel by Marriott Seattle Bellevue/Downtown,4
11248,"Holiday Inn Manhattan 6th Ave Chelsea, an IHG hotel",4
11249,Holiday Inn Express Walnut Creek,3
11253,Holiday Inn Houston-Hobby Airport,3
11254,Aloft San Antonio Airport,3
11255,Hampton Inn & Suites Clearwater/St. Petersburg-Ulmerton Road,3
11258,Sheraton Suites Houston Near The Galleria,4
11259,Walnut Creek Marriott,4
11267,TownePlace Suites by Marriott Fort Worth University Area/Medical Center,3
11269,Aloft Plano,3
11272,Kimpton Shorebreak Huntington Beach Resort,4
11273,Fremont Marriott Silicon Valley,4
11279,The Westin San Jose,4
